"product_name","date_month","total_reviews","total_helpful_count","average_rating","average_helpful_count"
"Beats Pill","2024-06-01 00:00:00-05","10","10","4.50","0.00"
"Beats Pill","2024-07-01 00:00:00-05","41","41","4.46","0.00"
"Beats Pill","2024-08-01 00:00:00-05","4","4","5.00","0.00"
"Bose Soundlink Flex","2024-05-01 00:00:00-05","3","3","4.33","1.00"
"Bose Soundlink Flex","2024-06-01 00:00:00-05","5","5","4.80","1.00"
"Bose Soundlink Flex","2024-07-01 00:00:00-05","68","68","4.85","1.00"
"Bose Soundlink Flex","2024-08-01 00:00:00-05","24","24","4.88","1.00"
"JBL Charge 5","2023-12-01 00:00:00-06","1","1","3.00","2.00"
"JBL Charge 5","2024-02-01 00:00:00-06","1","1","5.00","2.00"
"JBL Charge 5","2024-04-01 00:00:00-05","1","1","5.00","2.00"
"JBL Charge 5","2024-05-01 00:00:00-05","3","3","5.00","2.00"
"JBL Charge 5","2024-06-01 00:00:00-05","17","17","5.00","2.00"
"JBL Charge 5","2024-07-01 00:00:00-05","69","69","4.88","2.00"
"JBL Charge 5","2024-08-01 00:00:00-05","15","15","4.93","2.00"
"JBL Charge 5","2025-02-01 00:00:00-06","1","1","5.00","2.00"
"JBL Charge 5","2025-03-01 00:00:00-06","4","4","4.75","2.00"
"JBL Charge 5","2025-04-01 00:00:00-05","2","2","5.00","2.00"
"Marshall Emberton II","2022-10-01 00:00:00-05","1","1","5.00","0.00"
"Marshall Emberton II","2023-03-01 00:00:00-06","1","1","5.00","0.00"
"Marshall Emberton II","2023-10-01 00:00:00-05","1","1","5.00","0.00"
"Marshall Emberton II","2023-11-01 00:00:00-05","1","1","5.00","0.00"
"Marshall Emberton II","2023-12-01 00:00:00-06","2","2","4.00","0.00"
"Marshall Emberton II","2024-01-01 00:00:00-06","4","4","4.50","0.00"
"Marshall Emberton II","2024-02-01 00:00:00-06","2","2","4.50","0.00"
"Marshall Emberton II","2024-03-01 00:00:00-06","6","6","4.67","0.00"
"Marshall Emberton II","2024-04-01 00:00:00-05","8","8","4.50","0.00"
"Marshall Emberton II","2024-05-01 00:00:00-05","12","12","4.50","0.00"
"Marshall Emberton II","2024-06-01 00:00:00-05","26","26","4.81","0.00"
"Marshall Emberton II","2024-07-01 00:00:00-05","29","29","4.83","0.00"
"Marshall Emberton II","2024-08-01 00:00:00-05","11","11","5.00","0.00"
"Sony ULT Field","2024-05-01 00:00:00-05","39","39","4.92","0.00"
"Sony ULT Field","2024-06-01 00:00:00-05","26","26","4.35","0.00"
"Sony ULT Field","2024-07-01 00:00:00-05","29","29","4.66","0.00"
"Sony ULT Field","2024-08-01 00:00:00-05","9","9","4.44","0.00"
